iter	Passed	Remaining
398	143176	36242
399	143243	35810
400	143315	35382
401	143368	34950
402	143410	34518
403	143466	34091
404	143518	33664
405	143583	33243
406	143633	32820
407	143686	32399
408	143734	31980
409	143781	31561
410	143832	31146
411	143885	30732
412	143928	30319
413	143986	29910
414	144033	29500
415	144080	29093
416	144123	28686
417	144163	28280
418	144201	27876
419	144241	27474
420	144279	27073
421	144325	26676
422	144363	26278
423	144408	25884
424	144449	25491
425	144493	25099
426	144527	24708
427	144562	24318
428	144597	23931
429	144634	23545
430	144667	23160
431	144707	22778
432	144743	22396
433	144779	22017
434	144816	21639
435	144856	21263
436	144893	20888
437	144929	20515
438	144955	20141
439	144981	19770
440	145008	19400
441	145034	19031
442	145061	18664
443	145087	18299
444	145122	17936
445	145147	17573
446	145171	17212
447	145196	16853
448	145221	16495
449	145246	16138
450	145270	15783
451	145294	15429
452	145319	15077
453	145343	14726
454	145367	14377
455	145390	14028
456	145416	13682
457	145441	13337
458	145463	12993
459	145487	12651
460	145511	12310
461	145535	11970
462	145560	11632
463	145584	11295
464	145608	10959
465	145633	10625
466	145656	10292
467	145679	9960
468	145702	9630
469	145725	9301
470	145748	8973
471	145771	8647
472	145795	8322
473	145819	7998
474	145841	7675
475	145864	7354
476	145887	7034
477	145910	6715
478	145934	6397
479	145957	6081
480	145981	5766
481	146005	5452
482	146027	5139
483	146048	4828
484	146070	4517
485	146093	4208
486	146114	3900
487	146135	3593
488	146156	3287
489	146178	2983
490	146202	2679
491	146223	2377
492	146245	2076
493	146267	1776
494	146288	1477
495	146311	1179
496	146332	883
497	146354	587
498	146377	293
499	146398	0
0
498	207416	415
499	207547	0
