iter	Accuracy	Logloss
0	0.8484486874	0.6118428553
1	0.9116945107	0.5354354494
2	0.9295942721	0.4824758381
3	0.9451073986	0.4321049512
4	0.9457040573	0.3967763107
5	0.9576372315	0.3596100972
6	0.9701670644	0.318746556
7	0.9767303103	0.2918507218
8	0.9826968974	0.2653070661
9	0.9791169451	0.2460671964
10	0.9850835322	0.2279114242
11	0.9832935561	0.2163013837
12	0.9856801909	0.2055669837
13	0.9862768496	0.1962944138
14	0.9904534606	0.1817784331
15	0.9910501193	0.1683459619
16	0.9940334129	0.1563700745
17	0.9946300716	0.1483128673
18	0.9946300716	0.1397328274
19	0.9946300716	0.1334562303
20	0.995823389	0.1264570205
21	0.995823389	0.119986541
22	0.995823389	0.1143428764
23	0.9964200477	0.1084622196
24	0.9970167064	0.1040725012
25	0.9982100239	0.09958010424
26	0.9982100239	0.09446719785
27	0.9988066826	0.09010325001
28	0.9988066826	0.08566970594
29	0.9988066826	0.08211472971
30	0.9994033413	0.08029321147
31	0.9994033413	0.07777230529
32	0.9994033413	0.07487321308
33	0.9994033413	0.07220009331
34	0.9994033413	0.0688167024
35	0.9994033413	0.06657002407
36	0.9994033413	0.06491328282
37	0.9994033413	0.06264975306
38	0.9994033413	0.06025180655
39	1	0.05785092031
40	1	0.05621445487
41	1	0.05406645105
42	1	0.05244659725
43	1	0.050671386
44	1	0.04927368687
45	1	0.04729150279
46	1	0.04550452474
47	1	0.04404772198
48	1	0.04231821974
49	1	0.0411691722
50	1	0.03954422633
51	1	0.03842003587
52	1	0.03714559998
53	1	0.03621823465
54	1	0.03490347114
55	1	0.03395868623
56	1	0.03269450159
57	1	0.03161780079
58	1	0.03065517007
59	1	0.02982595209
60	1	0.02902219429
61	1	0.02810641046
62	1	0.02745474216
63	1	0.02658464355
64	1	0.02598833634
65	1	0.02539632072
66	1	0.02472301953
67	1	0.02414086483
68	1	0.02342882949
69	1	0.02291144485
70	1	0.02241591235
71	1	0.02191697338
72	1	0.02140905552
73	1	0.02088440766
74	1	0.02046407009
75	1	0.01977244614
76	1	0.01926588226
77	1	0.01882052015
78	1	0.01846016901
79	1	0.01799530686
80	1	0.01772095894
81	1	0.017399768
82	1	0.01694068706
83	1	0.01651852533
84	1	0.01622644731
85	1	0.01584201399
86	1	0.01550375325
87	1	0.01522263218
88	1	0.01495644334
89	1	0.01464570537
90	1	0.01427775117
91	1	0.01398660322
92	1	0.01365323934
93	1	0.01340971258
94	1	0.01309807724
95	1	0.01280472894
96	1	0.01255504893
97	1	0.01233141568
98	1	0.01211044082
99	1	0.01194375846
100	1	0.01174401281
101	1	0.01151203876
102	1	0.01134644845
103	1	0.01120541031
104	1	0.01104104655
105	1	0.01083918677
106	1	0.01064734176
107	1	0.01043446854
108	1	0.01026601896
109	1	0.01010810812
110	1	0.009925839089
111	1	0.009757785236
112	1	0.009568785979
113	1	0.009410800185
114	1	0.009253600089
115	1	0.009129508206
116	1	0.008938665198
117	1	0.008820037332
118	1	0.00868533058
119	1	0.008572978316
120	1	0.008442068886
121	1	0.00835201539
122	1	0.008229872278
123	1	0.008121224655
124	1	0.008008036585
125	1	0.007898559133
126	1	0.007795649732
127	1	0.00768911082
128	1	0.007591031009
129	1	0.007477349156
130	1	0.007368537808
131	1	0.007259220378
132	1	0.007159201075
133	1	0.007062302074
134	1	0.006983362915
135	1	0.00688678201
136	1	0.006794785733
137	1	0.006706162944
138	1	0.006630861854
139	1	0.006568968078
140	1	0.006476333973
141	1	0.006392406503
142	1	0.00631378702
143	1	0.006233530521
144	1	0.006155217314
145	1	0.006081273824
146	1	0.00601965853
147	1	0.005957338243
148	1	0.005888062766
149	1	0.005804448254
150	1	0.005736588957
151	1	0.005673728368
152	1	0.005620633847
153	1	0.005556980257
154	1	0.005497938949
155	1	0.005442265995
156	1	0.005384411423
157	1	0.005320504259
158	1	0.005260299357
159	1	0.005212134013
160	1	0.005157543178
161	1	0.005104686232
162	1	0.005033327606
163	1	0.004972300962
164	1	0.004906437776
165	1	0.00485202324
166	1	0.004799136069
167	1	0.004745740203
168	1	0.004694764535
169	1	0.004636235642
170	1	0.004596762562
171	1	0.004554624956
172	1	0.004507682382
173	1	0.004456427374
174	1	0.004404596692
175	1	0.004364464497
176	1	0.004316881905
177	1	0.004272560315
178	1	0.004230288186
179	1	0.004190831451
180	1	0.004152189583
181	1	0.004112283271
182	1	0.004081361598
183	1	0.004037680928
184	1	0.00400560516
